question,ground_truth,source_file,notes
"What do Google's Terms of Service describe about Google's relationship with users?","These Terms of Service help define Google’s relationship with you as you interact with our services.","google_terms_of_service.pdf",""
"What are users agreeing to when they access or use Google services?","By accessing or using Google services, users are agreeing to these Terms of Service.","google_terms_of_service.pdf",""
"What will Google do if it makes material changes that negatively impact a user's use of its services?","If Google makes material changes that negatively impact your use of its services, it will provide reasonable advance notice, except in urgent situations such as preventing abuse, responding to legal requirements, or addressing security and operability issues.","google_terms_of_service",""
"What opportunity does Google provide when it stops offering a service?","Google will provide users with an opportunity to export their content from their Google Account using Google Takeout, subject to applicable law and policies.","google_terms_of_service",""
"What are some reasons Google may suspend or terminate a user's access to its services?","Google may suspend or terminate access if a user materially or repeatedly breaches the terms, service-specific additional terms or policies, if Google is required to do so to comply with a legal requirement or court order, or if Google reasonably believes the user's conduct causes harm or liability to a user, third party, or Google.","google_terms_of_service",""
"What can a user do if they believe their Google Account was suspended or terminated in error?","If a user believes their Google Account has been suspended or terminated in error, they can appeal.","google_terms_of_service",""
"What should users do if they find others not following Google's conduct rules?","If you find that others aren’t following these rules, many of Google’s services allow you to report abuse.","google_terms_of_service",""
"What are some examples of actions that Google considers abuse of its services or systems?","Users must not abuse, harm, interfere with, or disrupt Google’s services or systems by introducing malware, spamming, hacking, bypassing systems or protective measures, or jailbreaking, adversarial prompting, or prompt injection except as part of Google’s safety and bug testing programs.","google_terms_of_service",""
"What are some examples of fraudulent or deceptive use of Google's services?","Fraudulent or deceptive use of Google’s services includes phishing, creating fake accounts or content including fake reviews, misleading others into thinking that generative AI content was created by a human, and providing services that falsely appear to originate from you, someone else, or Google.","google_terms_of_service",""
"What does Google say about using AI-generated content from its services to develop AI technology?","Users must not use AI-generated content from Google’s services to develop machine learning models or related AI technology.","google_terms_of_service",""
"What are some examples of fraudulent or deceptive use of Google's services?","Fraudulent or deceptive use of Google’s services includes phishing, creating fake accounts or content including fake reviews, misleading others into thinking that generative AI content was created by a human, and providing services that falsely appear to originate from you, someone else, or Google.","google_terms_of_service",""
"What does Google say about using AI-generated content from its services to develop AI technology?","Users must not use AI-generated content from Google’s services to develop machine learning models or related AI technology.","google_terms_of_service",""
"What rights does the content license grant Google?","This license allows Google to host, reproduce, distribute, communicate, and use your content; publish, publicly perform, or publicly display your content if you’ve made it visible to others; and modify and create derivative works based on your content.","google_terms_of_service",""
"What is the purpose of the license granted to Google for user content?","The license is for the limited purpose of operating and improving the services, including allowing the services to work as designed, creating new features and functionalities, and using automated systems and algorithms to analyze content for purposes such as spam and malware detection and recognizing patterns in data.","google_terms_of_service",""
"What are some reasons Google may update its Terms of Service and service-specific additional terms?","Google may update these terms and service-specific additional terms to reflect changes in its services or business, for legal, regulatory, or security reasons, or to prevent abuse or harm.","google_terms_of_service",""
"What should users do if they do not agree to Google's new terms after they are updated?","If you don’t agree to the new terms, you should remove your content and stop using the services. You can also end your relationship with Google at any time by closing your Google Account.","google_terms_of_service",""
"What responsibilities do users have regarding their Google Account?","Users are responsible for what they do with their Google Account, including taking reasonable steps to keep their Google Account secure, and Google encourages users to regularly use the Security Checkup.","google_terms_of_service",""
"Who must agree to Google's Terms of Service when using Google services on behalf of an organization?","To use Google services on behalf of an organization, an authorized representative of that organization must agree to these terms.","google_terms_of_service",""
"What are some purposes for which Google analyzes user content using automated systems and algorithms?","Google analyzes user content for spam and malware, to recognize patterns in data, and to customize services by providing recommendations and personalized search results, content, and ads.","google_terms_of_service",""
"How long does the license granted to Google for user content last?","This license lasts for as long as your content is protected by intellectual property rights.","google_terms_of_service",""
"How do Google's services work together to help users move between activities?","Google's services are designed to work together, making it easier for users to move from one activity to the next. For example, if a Calendar event includes an address, users can click the address and Maps can show them how to get there.","google_terms_of_service",""
"What technologies does Google use to improve its services and what are some examples of their use?","Google uses artificial intelligence and machine learning to improve its services, including providing simultaneous translations and better detecting and blocking spam and malware.","google_terms_of_service",""
"What is a consumer according to Google's Terms of Service?","A consumer is an individual who uses Google services for personal, non-commercial purposes outside of their trade, business, craft, or profession.","google_terms_of_service",""
"What are intellectual property rights according to Google's Terms of Service?","Intellectual property rights are rights over the creations of a person’s mind, such as inventions (patent rights), literary and artistic works (copyright), designs (design rights), and symbols, names, and images used in commerce.","google_terms_of_service",""
"What must users ensure before uploading or sharing content through Google's services?","If users choose to upload or share content, they should make sure they have the necessary rights to do so and that the content is lawful.","google_terms_of_service",""
"Who retains intellectual property rights to content uploaded to Google's services?","Your content remains yours, which means that you retain any intellectual property rights that you have in your content.","google_terms_of_service",""
"What is one exception where content may remain available after a user removes it from their Google Account?","If you already shared your content with others before removing it, such as a photo shared with a friend who made a copy or shared it again, that content may continue to appear in your friend’s Google Account even after you remove it from your Google Account.","google_terms_of_service",""
"Why do some Google services require a Google Account?","Some services require a Google Account in order to work. For example, to use Gmail, you need a Google Account so that you have a place to send and receive your email.","google_terms_of_service",""
"What types of content are not covered by the license granted to Google?","This license does not cover publicly-available factual information that you provide, such as corrections to the address of a local business, or feedback that you offer, such as suggestions to improve Google's services.","google_terms_of_service",""
"What does it mean that the license granted to Google is non-exclusive and royalty-free?","Non-exclusive means you can license your content to others, and royalty-free means there are no monetary fees for this license.","google_terms_of_service",""
"Does Google claim ownership of original content generated by users through its services?","Some of Google's services allow users to generate original content, and Google won’t claim ownership over that content.","google_terms_of_service",""
"What action may Google take against repeat copyright infringers?","Google may suspend or close the Google Accounts of repeat copyright infringers as described in its Copyright Help Center.","google_terms_of_service",""
"What must users do if they want to use Google's branding or logos?","If you want to use Google's branding or logos, please see the Google Brand Permissions page.","google_terms_of_service",""
"Can users freely use content belonging to other people or organizations that is accessible through Google services?","You may not use content that belongs to other people or organizations without that person or organization's permission, or as otherwise allowed by law.","google_terms_of_service",""
"What are intellectual property rights (IP rights) according to Google's Terms of Service?","Intellectual property rights are rights over the creations of a person’s mind, such as inventions (patent rights), literary and artistic works (copyright), designs (design rights), and symbols, names, and images used in commerce (trademarks).","google_terms_of_service",""
"What types of products and services are covered by Google's Terms of Service?","The Google services subject to these terms include apps and sites (like Search and Maps), platforms (like Google Shopping), integrated services (like Maps embedded in other companies’ apps or sites), and devices and other goods (like Google Nest).","google_terms_of_service",""
"What is a trademark according to Google's Terms of Service?","A trademark is a symbol, name, or image used in commerce that is capable of distinguishing the goods or services of one individual or organization from those of another.","google_terms_of_service",""
"What is considered 'your content' under Google's Terms of Service?","Your content includes things that you create, upload, submit, store, send, receive, or share using Google's services, such as Docs, Sheets, and Slides you create, blog posts uploaded through Blogger, reviews submitted through Maps, videos stored in Drive, emails sent and received through Gmail, pictures shared through Photos, and travel itineraries shared with Google.","google_terms_of_service",""
